common_name,scientific_name,mig_status,dietary_guild
Acadian Flycatcher,Empidonax virescens,Neotropical,Invertebrate
American Redstart,Setophaga ruticilla,Neotropical,Invertebrate
Black-and-white Warbler,Mniotilta varia,Neotropical,Invertebrate
Blue Jay,Cyanocitta cristata,Temperate,Omnivore
Brown-headed Nuthatch,Sitta pusilla,Resident,Invertebrate
Brown Thrasher,Toxostoma rufum,Temperate,Omnivore
Chestnut-sided Warbler,Dendroica pensylvanica,Neotropical,Invertebrate
Common Grackle,Quiscalus quiscula,Temperate,Omnivore
Common Yellowthroat,Geothlypis trichas,Temperate,Invertebrate
Downy Woodpecker,Picoides pubescens,Resident,Invertebrate
Eastern Bluebird,Sialia sialis,Temperate,Invertebrate
Eastern Phoebe,Sayornis phoebe,Temperate,Invertebrate
Eastern Towhee,Pipilo erythrophthalmus,Temperate,Omnivore
Eastern Wood-Pewee,Contopus virens,Neotropical,Invertebrate
Field Sparrow,Spizella pusilla,Temperate,PlantSeed
Hairy Woodpecker,Picoides villosus,Resident,Invertebrate
Hooded Warbler,Wilsonia citrina,Neotropical,Invertebrate
Indigo Bunting,Passerina cyanea,Neotropical,PlantSeed
Northern Cardinal,Cardinalis cardinalis,Resident,PlantSeed
Northern Flicker,Colaptes auratus,Temperate,Invertebrate
Northern Parula,Parula americana,Neotropical,Invertebrate
Orchard Oriole,Icterus spurius,Neotropical,Omnivore
Ovenbird,Seiurus aurocapilla,Neotropical,Invertebrate
Pileated Woodpecker,Dryocopus pileatus,Resident,Invertebrate
Pine Warbler,Dendroica pinus,Temperate,Invertebrate
Prairie Warbler,Dendroica discolor,Neotropical,Invertebrate
Prothonotary Warbler,Protonotaria citrea,Neotropical,Invertebrate
Red-bellied Woodpecker,Melanerpes carolinus,Resident,Omnivore
Red-breasted Nuthatch,Sitta canadensis,Temperate,Omnivore
Red-eyed Vireo,Vireo olivaceus,Neotropical,Invertebrate
Red-headed Woodpecker,Melanerpes erythrocephalus,Temperate,Invertebrate
Rose-breasted Grosbeak,Pheucticus ludovicianus,Neotropical,Omnivore
Scarlet Tanager,Piranga olivacea,Neotropical,Invertebrate
Tufted Titmouse,Baeolophus bicolor,Resident,Invertebrate
Veery,Catharus fuscescens,Neotropical,Omnivore
White-breasted Nuthatch,Sitta carolinensis,Resident,Omnivore
White-eyed Vireo,Vireo griseus,Temperate,Invertebrate
Wild Turkey,Meleagris gallopavo,Resident,PlantSeed
Wood Duck,Aix sponsa,Temperate,PlantSeed
Wood Thrush,Hylocichla mustelina,Neotropical,Invertebrate
Yellow-billed Cuckoo,Coccyzus americanus,Neotropical,Invertebrate
Yellow-throated Vireo,Vireo flavifrons,Neotropical,Invertebrate
Yellow-throated Warbler,Dendroica dominica,Neotropical,Invertebrate
